v1	v2	v3	f
-3.540116608	29.25470951	-4.058648462	8.130693948
-3.203237774	21.91889187	-3.391914208	7.101615008
-2.833992955	16.9264787	-2.963484315	6.296859111
-2.632268751	17.38451586	-3.195253378	6.371542502
-3.376122062	27.70598305	-4.009433219	7.924488714
-3.009111986	23.39563208	-3.762311401	7.318653397
-2.569038871	17.27434595	-3.232833739	6.352209419
-3.702649144	30.72891193	-4.09641156	8.322072131
-2.556232203	14.37979364	-2.770736109	5.838369259
-2.51832047	15.81234274	-3.036566758	6.09750545
-2.111564738	11.63201962	-2.631293063	5.292154291
-3.017208149	23.7490426	-3.805042183	7.370233072
-3.28693309	23.53224406	-3.541015448	7.341146821
-2.74445079	16.26393174	-2.929368291	6.180750971
-3.159209069	26.73330561	-4.084559547	7.791686585
-3.909969626	34.86622302	-4.396424005	8.833959456
-2.333760564	14.18181448	-2.914073839	5.797539424
-3.124660132	23.17834855	-3.628341378	7.287640126
-3.328757492	21.97961108	-3.305036767	7.112876803
-2.366767485	14.33457564	-2.912922518	5.826563419
-3.833219981	33.34718603	-4.290159071	8.649725494
-3.486175164	29.47043453	-4.133863708	8.158486865
-3.507551771	25.55590554	-3.62608632	7.63187062
-3.103644837	22.60040099	-3.566395551	7.202141513
-3.499508983	26.92570533	-3.8036187	7.820136722
-3.024093233	21.46997432	-3.475229787	7.031306539
-2.148711816	15.13939814	-3.263493948	5.974194678
-3.443901558	23.53484425	-3.420311765	7.343970439
-3.804557144	27.81783369	-3.673129403	7.94439135
-2.900563378	20.81609757	-3.487166436	6.92964104
