E_minimax: 	0.0000000796 
C[ 1]	 -0.0016345623 
C[ 2]	 -0.0000000277 
C[ 3]	 0.1084589949 
C[ 4]	 -0.0000002713 
C[ 5]	 0.0637904277 
C[ 6]	 0.0059903543 
C[ 7]	 0.0684299396 
C[ 8]	 0.0681212783 
C[ 9]	 0.0314965751 

Execution time 	0.0144507885 s 

	Approximation Values	Data Values

( 0)	 0.2526370455 	0.3947599680 
( 1)	 0.2774244931 	0.4531831510 
( 2)	 0.2074249199 	0.5267660500 
( 3)	 0.2145875573 	0.9564045570 
( 4)	 0.2219387980 	0.8400766750 
( 5)	 0.2224914685 	0.4893961050 
( 6)	 0.2216292486 	0.9483279150 
( 7)	 0.2737949308 	0.5785438560 
( 8)	 0.2498028179 	0.5159342880 
( 9)	 0.2926804293 	0.5113027250 
(10)	 0.2407704796 	0.0765840450 
(11)	 0.1963748331 	0.0524840840 
(12)	 0.2689219973 	0.3191999680 
(13)	 0.3103446271 	0.2340238480 
(14)	 0.2454959781 	0.4450435420 
(15)	 0.1815100724 	0.6977424960 
(16)	 0.2666841541 	0.6049663470 
(17)	 0.2535481373 	0.5022719710 
(18)	 0.2482807924 	0.4560810250 
(19)	 0.2756685579 	0.1181592700 
(20)	 0.2766617536 	0.7877431830 
(21)	 0.2887612475 	0.6277432700 
(22)	 0.2958332874 	0.1852421040 
(23)	 0.2048249064 	0.3113705900 
(24)	 0.2069870668 	0.2128189190 
(25)	 0.1965773014 	0.5867744320 
(26)	 0.1612304525 	0.2659660300 
(27)	 0.2768896572 	0.2342149250 
(28)	 0.1686645318 	0.9862615300 
(29)	 0.2305682200 	0.0076391860 
(30)	 0.2907544056 	0.4872438800 
(31)	 0.2813592316 	0.1522226180 
(32)	 0.2728455074 	0.0342126050 
(33)	 0.2415957177 	0.4790096510 
(34)	 0.2120258274 	0.1088866930 
(35)	 0.2429657465 	0.4980778160 
(36)	 0.2728017196 	0.3447569870 
(37)	 0.2300126616 	0.2385182270 
(38)	 0.2412782868 	0.1433770820 
(39)	 0.2662187911 	0.1570377050 
(40)	 0.2011552201 	0.9077217930 
(41)	 0.2538451038 	0.7041772740 
(42)	 0.2179910432 	0.3724170780 
(43)	 0.2495303015 	0.6552192140 
(44)	 0.2183097580 	0.0377088850 
(45)	 0.2638633445 	0.7889992050 
(46)	 0.2389500305 	0.4973200750 
(47)	 0.1856206199 	0.2057902970 
(48)	 0.2168711358 	0.3000384720 
(49)	 0.2075874163 	0.0689292320 
(50)	 0.2384821291 	0.4667125630 
(51)	 0.1667800523 	0.8492570540 
(52)	 0.2707474255 	0.7975454340 
(53)	 0.2665993647 	0.4703582810 
(54)	 0.2248455413 	0.4271075910 
(55)	 0.2498685057 	0.0322885570 
(56)	 0.2479056155 	0.9660259320 
(57)	 0.2527660976 	0.8721814300 
(58)	 0.1834201393 	0.5771209800 
(59)	 0.2002421887 	0.1242726850 
(60)	 0.2014014112 	0.4274347290 
